,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16160,Mexico,Sweden,0,3,27 Jun 2018,"2018 FIFA World Cup Final Tournament, Group F"
0,16159,Croatia,Iceland,2,1,26 Jun 2018,"2018 FIFA World Cup Final Tournament, Group D"
0,16158,Denmark,France,0,0,26 Jun 2018,"2018 FIFA World Cup Final Tournament, Group C"
0,16157,Iran,Portugal,1,1,25 Jun 2018,"2018 FIFA World Cup Final Tournament, Group B"
0,16156,Morocco,Spain,2,2,25 Jun 2018,"2018 FIFA World Cup Final Tournament, Group B"
0,16155,Russia,Uruguay,0,3,25 Jun 2018,"2018 FIFA World Cup Final Tournament, Group A"
0,16154,Colombia,Poland,3,0,24 Jun 2018,"2018 FIFA World Cup Final Tournament, Group H"
0,16153,Panama,England,1,6,24 Jun 2018,"2018 FIFA World Cup Final Tournament, Group G"
0,16152,Germany,Sweden,2,1,23 Jun 2018,"2018 FIFA World Cup Final Tournament, Group F"
0,16151,Tunisia,Belgium,2,5,23 Jun 2018,"2018 FIFA World Cup Final Tournament, Group G"
0,16150,Serbia,Switzerland,1,2,22 Jun 2018,"2018 FIFA World Cup Final Tournament, Group E"
0,16149,Nigeria,Iceland,2,0,22 Jun 2018,"2018 FIFA World Cup Final Tournament, Group D"
0,16148,Argentina,Croatia,0,3,21 Jun 2018,"2018 FIFA World Cup Final Tournament, Group D"
0,16147,Peru,France,0,1,21 Jun 2018,"2018 FIFA World Cup Final Tournament, Group C"
0,16146,Australia,Denmark,1,1,21 Jun 2018,"2018 FIFA World Cup Final Tournament, Group C"
0,16145,Iran,Spain,0,1,20 Jun 2018,"2018 FIFA World Cup Final Tournament, Group B"
0,16144,Morocco,Portugal,0,1,20 Jun 2018,"2018 FIFA World Cup Final Tournament, Group B"
0,16143,Russia,Egypt,3,1,19 Jun 2018,"2018 FIFA World Cup Final Tournament, Group A"
0,16142,Senegal,Poland,2,1,19 Jun 2018,"2018 FIFA World Cup Final Tournament, Group H"
0,16141,Tunisia,England,1,2,18 Jun 2018,"2018 FIFA World Cup Final Tournament, Group G"
0,16140,Panama,Belgium,0,3,18 Jun 2018,"2018 FIFA World Cup Final Tournament, Group G"
0,16139,South Korea,Sweden,0,1,18 Jun 2018,"2018 FIFA World Cup Final Tournament, Group F"
0,16138,Brazil,Switzerland,1,1,17 Jun 2018,"2018 FIFA World Cup Final Tournament, Group E"
0,16137,Mexico,Germany,1,0,17 Jun 2018,"2018 FIFA World Cup Final Tournament, Group F"
0,16136,Costa Rica,Serbia,0,1,17 Jun 2018,"2018 FIFA World Cup Final Tournament, Group E"
0,16135,Nigeria,Croatia,0,2,16 Jun 2018,"2018 FIFA World Cup Final Tournament, Group D"
0,16134,Peru,Denmark,0,1,16 Jun 2018,"2018 FIFA World Cup Final Tournament, Group C"
0,16133,Argentina,Iceland,1,1,16 Jun 2018,"2018 FIFA World Cup Final Tournament, Group D"
0,16132,Australia,France,1,2,16 Jun 2018,"2018 FIFA World Cup Final Tournament, Group C"
0,16131,Portugal,Spain,3,3,15 Jun 2018,"2018 FIFA World Cup Final Tournament, Group B"
0,16130,Russia,Saudi Arabia,5,0,14 Jun 2018,"2018 FIFA World Cup Final Tournament, Group A"
0,16129,Poland,Lithuania,4,0,12 Jun 2018,Friendly International
0,16128,Belgium,Costa Rica,4,1,11 Jun 2018,Friendly International
0,16127,Austria,Brazil,0,3,10 Jun 2018,Friendly International
0,16126,France,United States,1,1,09 Jun 2018,Friendly International
0,16125,Tunisia,Spain,0,1,09 Jun 2018,Friendly International
0,16124,Denmark,Mexico,2,0,09 Jun 2018,Friendly International
0,16123,Sweden,Peru,0,0,09 Jun 2018,Friendly International
0,16122,Bolivia,Serbia,1,5,09 Jun 2018,Friendly International
0,16121,Finland,Belarus,2,0,09 Jun 2018,Friendly International
0,16120,Estonia,Morocco,1,3,09 Jun 2018,Friendly International
0,16119,Hungary,Australia,1,2,09 Jun 2018,Friendly International
0,16118,Latvia,Azerbaijan,1,3,09 Jun 2018,Friendly International
0,16117,Poland,Chile,2,2,08 Jun 2018,Friendly International
0,16116,Germany,Saudi Arabia,2,1,08 Jun 2018,Friendly International
0,16115,Switzerland,Japan,2,0,08 Jun 2018,Friendly International
0,16114,Croatia,Senegal,2,1,08 Jun 2018,Friendly International
0,16113,Iran,Lithuania,1,0,08 Jun 2018,Friendly International
0,16112,Iceland,Ghana,2,2,07 Jun 2018,Friendly International
0,16111,Portugal,Algeria,3,0,07 Jun 2018,Friendly International
0,16110,England,Costa Rica,2,0,07 Jun 2018,Friendly International
0,16109,Belgium,Egypt,3,0,06 Jun 2018,Friendly International
0,16108,Norway,Panama,1,0,06 Jun 2018,Friendly International
0,16107,Belarus,Hungary,1,1,06 Jun 2018,Friendly International
0,16106,Nigeria,Czech Republic,0,1,06 Jun 2018,Friendly International
0,16105,Luxembourg,Georgia,1,0,05 Jun 2018,Friendly International
0,16104,Romania,Finland,2,0,05 Jun 2018,Friendly International
0,16103,Russia,Turkey,1,1,05 Jun 2018,Friendly International
0,16102,Lithuania,Latvia,1,1,05 Jun 2018,Baltic Cup 2018
0,16101,Kazakhstan,Azerbaijan,3,0,05 Jun 2018,Friendly International
0,16100,Italy,Netherlands,1,1,04 Jun 2018,Friendly International
0,16099,Chile,Serbia,1,0,04 Jun 2018,Friendly International
0,16098,Morocco,Slovakia,2,1,04 Jun 2018,Friendly International
0,16097,Armenia,Moldova,0,0,04 Jun 2018,Friendly International
0,16096,Spain,Switzerland,1,1,03 Jun 2018,Friendly International
0,16095,Costa Rica,Northern Ireland,3,0,03 Jun 2018,Friendly International
0,16094,Cape Verde,Andorra,0,0,03 Jun 2018,Taça d`Almada
0,16093,Albania,Ukraine,1,4,03 Jun 2018,Friendly International
0,16092,Brazil,Croatia,2,0,03 Jun 2018,Friendly International
0,16091,Mexico,Scotland,1,0,02 Jun 2018,Friendly International
0,16090,Iceland,Norway,2,3,02 Jun 2018,Friendly International
0,16089,Rep. of Ireland,United States,2,1,02 Jun 2018,Friendly International
0,16088,Belgium,Portugal,0,0,02 Jun 2018,Friendly International
0,16087,Montenegro,Slovenia,0,2,02 Jun 2018,Friendly International
0,16086,Sweden,Denmark,0,0,02 Jun 2018,Friendly International
0,16085,Austria,Germany,2,1,02 Jun 2018,Friendly International
0,16084,England,Nigeria,2,1,02 Jun 2018,Friendly International
0,16083,Latvia,Estonia,1,0,02 Jun 2018,Baltic Cup 2018
0,16082,France,Italy,3,1,01 Jun 2018,Friendly International
0,16081,Tunisia,Turkey,2,2,01 Jun 2018,Friendly International
0,16080,Georgia,Malta,1,0,01 Jun 2018,Friendly International
0,16079,Australia,Czech Republic,4,0,01 Jun 2018,Friendly International
0,16078,South Korea,Bosnia & Herzegovina,1,3,01 Jun 2018,Friendly International
