,match_number,match_team1,match_team2,match_team1_goals,match_team2_goals,match_time,match_nature
0,16813,Cyprus,Luxembourg,2,1,14 Nov 2020,"2020-21 UEFA Nations League, Group C1"
0,16812,Malta,Andorra,3,1,14 Nov 2020,"2020-21 UEFA Nations League, Group D1"
0,16811,San Marino,Gibraltar,0,0,14 Nov 2020,"2020-21 UEFA Nations League, Group D2"
0,16810,England,Rep. of Ireland,3,0,12 Nov 2020,Friendly International
0,16809,Wales,United States,0,0,12 Nov 2020,Friendly International
0,16808,Hungary,Iceland,2,1,12 Nov 2020,UEFA Euro 2020 Qualifying
0,16807,Serbia,Scotland,1,1,12 Nov 2020,UEFA Euro 2020 Qualifying
0,16806,Northern Ireland,Slovakia,1,2,12 Nov 2020,UEFA Euro 2020 Qualifying
0,16805,Georgia,North Macedonia,0,1,12 Nov 2020,UEFA Euro 2020 Qualifying
0,16804,Moldova,Russia,0,0,12 Nov 2020,Friendly International
0,16803,Bosnia & Herzegovina,Iran,0,2,12 Nov 2020,Friendly International
0,16802,France,Finland,0,2,11 Nov 2020,Friendly International
0,16801,Slovenia,Azerbaijan,0,0,11 Nov 2020,Friendly International
0,16800,Belgium,Switzerland,2,1,11 Nov 2020,Friendly International
0,16799,Germany,Czech Republic,1,0,11 Nov 2020,Friendly International
0,16798,Italy,Estonia,4,0,11 Nov 2020,Friendly International
0,16797,Portugal,Andorra,7,0,11 Nov 2020,Friendly International
0,16796,Netherlands,Spain,1,1,11 Nov 2020,Friendly International
0,16795,Poland,Ukraine,2,0,11 Nov 2020,Friendly International
0,16794,Luxembourg,Austria,0,3,11 Nov 2020,Friendly International
0,16793,Denmark,Sweden,2,0,11 Nov 2020,Friendly International
0,16792,Turkey,Croatia,3,3,11 Nov 2020,Friendly International
0,16791,Bulgaria,Gibraltar,3,0,11 Nov 2020,Friendly International
0,16790,Romania,Belarus,5,3,11 Nov 2020,Friendly International
0,16789,Lithuania,Faroe Islands,2,1,11 Nov 2020,Friendly International
0,16788,Montenegro,Kazakhstan,0,0,11 Nov 2020,Friendly International
0,16787,San Marino,Latvia,0,3,11 Nov 2020,Friendly International
0,16786,Malta,Liechtenstein,3,0,11 Nov 2020,Friendly International
0,16785,Albania,Kosovo,2,1,11 Nov 2020,Friendly International
0,16784,Greece,Cyprus,2,1,11 Nov 2020,Friendly International
0,16783,Scotland,Czech Republic,1,0,14 Oct 2020,"2020-21 UEFA Nations League, Group B2"
0,16782,Norway,Northern Ireland,1,0,14 Oct 2020,"2020-21 UEFA Nations League, Group B1"
0,16781,Italy,Netherlands,1,1,14 Oct 2020,"2020-21 UEFA Nations League, Group A1"
0,16780,Poland,Bosnia & Herzegovina,3,0,14 Oct 2020,"2020-21 UEFA Nations League, Group A1"
0,16779,Romania,Austria,0,1,14 Oct 2020,"2020-21 UEFA Nations League, Group B1"
0,16778,England,Denmark,0,1,14 Oct 2020,"2020-21 UEFA Nations League, Group A2"
0,16777,Iceland,Belgium,1,2,14 Oct 2020,"2020-21 UEFA Nations League, Group A2"
0,16776,Croatia,France,1,2,14 Oct 2020,"2020-21 UEFA Nations League, Group A3"
0,16775,Portugal,Sweden,3,0,14 Oct 2020,"2020-21 UEFA Nations League, Group A3"
0,16774,Estonia,Armenia,1,1,14 Oct 2020,"2020-21 UEFA Nations League, Group C2"
0,16773,North Macedonia,Georgia,1,1,14 Oct 2020,"2020-21 UEFA Nations League, Group C2"
0,16772,Slovakia,Israel,2,3,14 Oct 2020,"2020-21 UEFA Nations League, Group B2"
0,16771,Russia,Hungary,0,0,14 Oct 2020,"2020-21 UEFA Nations League, Group B3"
0,16770,Turkey,Serbia,2,2,14 Oct 2020,"2020-21 UEFA Nations League, Group B3"
0,16769,Bulgaria,Wales,0,1,14 Oct 2020,"2020-21 UEFA Nations League, Group B4"
0,16768,Greece,Kosovo,0,0,14 Oct 2020,"2020-21 UEFA Nations League, Group C3"
0,16767,Moldova,Slovenia,0,4,14 Oct 2020,"2020-21 UEFA Nations League, Group C3"
0,16766,Belarus,Kazakhstan,2,0,14 Oct 2020,"2020-21 UEFA Nations League, Group C4"
